height,bip158_bytes
710989,36232
710990,33287
710991,9850
710992,12670
710993,32345
710994,28296
710995,3389
710996,33224
710997,24455
710998,37409
710999,34759
711000,37937
711001,36683
711002,34209
711003,37563
711004,32920
711005,39022
711006,33596
711007,34908
711008,38463
711009,35734
711010,32900
711011,33449
711012,31209
711013,30863
711014,34012
711015,22721
711016,27818
711017,37244
711018,38672
711019,32312
711020,37337
711021,38113
711022,36323
711023,37775
711024,29958
711025,37638
711026,34760
711027,35746
711028,32733
711029,30408
711030,36632
711031,40840
711032,38215
711033,37901
711034,28646
711035,35613
711036,32380
711037,27557
711038,34889
711039,31042
711040,29332
711041,28171
711042,16879
711043,15420
711044,19571
711045,22699
711046,31914
711047,25188
711048,40946
711049,26618
711050,30686
711051,29486
711052,14137
711053,15891
711054,10516
711055,36046
711056,28176
711057,7066
711058,17050
711059,18464
711060,7838
711061,3374
711062,5099
711063,17515
711064,7913
711065,35629
711066,3996
711067,31793
711068,15064
711069,24650
711070,4111
711071,3933
711072,38
711073,36298
711074,35182
711075,28886
711076,25939
711077,4103
711078,19168
711079,22514
711080,1945
711081,10637
711082,270
711083,9783
711084,28596
711085,4546
711086,15047
711087,33824
711088,28808
711089,29102
711090,32090
711091,31533
711092,29192
711093,29611
711094,26639
711095,26890
711096,4105
711097,27196
711098,29248
711099,15421
711100,7689
711101,598
711102,7026
711103,7324
711104,38
711105,2754
711106,33340
711107,10057
711108,9656
711109,14530
711110,4078
711111,3708
711112,33665
711113,33692
711114,35539
711115,33677
711116,37597
711117,34162
711118,32283
711119,34965
711120,33331
711121,28982
711122,35114
711123,34360
711124,31337
711125,31672
711126,33963
711127,33832
711128,36876
711129,31443
711130,41687
711131,41131
711132,28713
711133,35121
711134,35261
711135,35056
711136,32028
711137,31412
711138,15739
711139,30114
711140,3542
711141,2040
711142,18971
711143,9848
711144,35443
711145,12954
711146,7498
711147,36643
711148,35108
711149,37028
711150,37397
711151,34954
711152,29027
711153,33392
711154,27209
711155,36097
711156,38826
711157,31837
711158,34444
711159,39187
711160,43673
711161,28982
711162,34093
711163,31496
711164,31252
711165,7962
711166,38666
711167,30966
711168,32770
711169,31957
711170,38356
711171,32530
711172,32874
711173,34073
711174,30299
711175,37034
711176,43572
711177,37259
711178,36237
711179,36978
711180,33327
711181,35019
711182,30973
711183,33402
711184,39994
711185,37684
711186,30547
711187,32390
711188,37086
711189,33543
711190,34894
711191,33397
711192,24686
711193,25064
711194,19913
711195,29194
711196,31152
711197,33177
711198,30638
711199,36077
711200,15984
711201,5236
711202,12177
711203,17403
711204,28337
711205,8221
711206,3685
711207,19325
711208,26969
711209,37000
711210,29701
711211,39188
711212,27495
711213,16458
711214,8858
711215,52596
711216,23684
711217,15528
711218,10433
711219,266
711220,1811
711221,29436
711222,4123
711223,21480
711224,5528
711225,39376
711226,23346
711227,36744
711228,20562
711229,1790
711230,13454
711231,13691
711232,13554
711233,5454
711234,1648
711235,33687
711236,7914
711237,32384
711238,18132
711239,35459
711240,26868
711241,31789
711242,21352
711243,12894
711244,36236
711245,39403
711246,26664
711247,34698
711248,34593
711249,35737
711250,9552
711251,7956
711252,15329
711253,29242
711254,13089
711255,16231
711256,27266
711257,3814
711258,31710
711259,31475
711260,31709
711261,41222
711262,34729
711263,32619
711264,30092
711265,33778
711266,36409
711267,36433
711268,38237
711269,33231
711270,40310
711271,31037
711272,30969
711273,36128
711274,35830
711275,32769
711276,32840
711277,35091
711278,33902
711279,30597
711280,38765
711281,36383
711282,38776
711283,32456
711284,38846
711285,39534
711286,37088
711287,33348
711288,36312
711289,36581
711290,36415
711291,32940
711292,32609
711293,35351
711294,33603
711295,25058
711296,44520
711297,42043
711298,35311
711299,42321
711300,36281
711301,35861
711302,35229
711303,30055
711304,40014
711305,40532
711306,43208
711307,37695
711308,41415
711309,38528
711310,35995
711311,27997
711312,28929
711313,33507
711314,33761
711315,35515
711316,33035
711317,33352
711318,27090
711319,42455
711320,29717
711321,24977
711322,25726
711323,38038
711324,32522
711325,40522
711326,42732
711327,32378
711328,38148
711329,40950
711330,35627
711331,47841
711332,27017
711333,39960
711334,35778
711335,26432
711336,22784
711337,20270
711338,37260
711339,19964
711340,16995
711341,11115
711342,38688
711343,37053
711344,36355
711345,28595
711346,33324
711347,29617
711348,33539
711349,19870
711350,19353
711351,24938
711352,29606
711353,13020
711354,10059
711355,7430
711356,11663
711357,7256
711358,36926
711359,25840
711360,34584
711361,19487
711362,30245
711363,24048
711364,27851
711365,33602
711366,24065
711367,38333
711368,35013
711369,22109
711370,35507
711371,17324
711372,20213
711373,540
711374,13204
711375,37638
711376,35620
711377,37082
711378,35169
711379,27346
711380,9337
711381,23205
711382,25492
711383,41714
711384,37097
711385,29305
711386,34672
711387,33307
711388,31792
711389,33704
711390,37695
711391,7905
711392,6955
711393,35556
711394,36712
711395,36287
711396,33772
711397,31839
711398,31225
711399,37486
711400,31509
711401,41262
711402,32840
711403,32396
711404,25667
711405,29726
711406,10500
711407,25596
711408,34648
711409,36637
711410,31262
711411,3471
711412,11585
711413,33633
711414,9423
711415,12395
711416,39126
711417,40501
711418,33248
711419,35270
711420,23226
711421,39704
711422,31950
711423,10684
711424,21283
711425,38611
711426,18212
711427,31988
711428,11413
711429,19477
711430,11411
711431,36993
711432,38062
711433,38629
711434,39285
711435,33226
711436,37035
711437,35844
711438,38657
711439,35289
711440,29931
711441,37689
711442,38872
711443,37921
711444,31287
711445,32923
711446,40129
711447,41752
711448,33065
711449,42190
711450,36729
711451,38721
711452,34862
711453,31800
711454,23667
711455,16329
711456,38707
711457,15459
711458,3024
711459,5767
711460,15345
711461,21129
711462,25686
711463,22828
711464,15198
711465,16637
711466,6745
711467,3281
711468,13374
711469,19033
711470,45512
711471,15803
711472,18553
711473,47537
711474,37279
711475,43636
711476,34193
711477,17459
711478,1577
711479,12358
711480,10132
711481,1703
711482,10436
711483,37119
711484,11384
711485,33109
711486,4770
711487,12879
711488,24761
711489,6600
711490,13043
711491,4331
